iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,Well Calibration,0.0587625907545262,Well Calibration,0.0
2,AUC-ROC,0.04720471803662365,Accuracy,0.8192383172511721
2,AUC-ROC,0.04720471803662365,AUC-ROC,0.0
3,learning_curve_train_score,0.057518091728239865,learning_curve_train_score,0.0
4,Log Loss,0.05910899401464071,Log Loss,0.0
5,Equal Opportunity,0.0571487093433607,Equalized Odds,0.9323106969379401
5,Equal Opportunity,0.0571487093433607,Conditional Use Accuracy Equality,0.93231069693794
5,Equal Opportunity,0.0571487093433607,Equal Opportunity,0.0
6,Matthews Corrcoef,0.05787620407311526,Cohen Kappa,0.791044776119403
6,Matthews Corrcoef,0.05787620407311526,Matthews Corrcoef,0.0
7,Test Fairness,0.06201089494757547,Test Fairness,0.0
8,Overall Accuracy Equality,0.07245288332035714,Equal Negative Predictive Value,0.8411421826094154
8,Overall Accuracy Equality,0.07245288332035714,Overall Accuracy Equality,0.0
9,Balance for Negative Class,0.07339083835792055,Balance for Negative Class,0.0
10,Statistical Parity,0.07318884613454059,Statistical Parity,0.0
