metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
learning_curve_train_score,Predictive Equality,Kendall,-0.013355600236861118,0
AUC-ROC,Balance for Positive Class,Kendall,-0.015782507303064693,0
Recall,system_network_receive_megabytes,Kendall,-0.019457132086292173,0
AUC-ROC,Predictive Equality,Kendall,-0.02200456901407318,0
system_cpu_utilization_percentage,Predictive Equality,Kendall,-0.022624537329014555,0
system_cpu_utilization_percentage,Matthews Corrcoef,Kendall,-0.026592065479437158,0
Well Calibration,system_system_memory_usage_percentage,Kendall,-0.02804439236185445,0
AUC-ROC,system_system_memory_usage_percentage,Kendall,-0.02804439236185445,0
system_cpu_utilization_percentage,Precision,Kendall,-0.02954673942159684,0
system_cpu_utilization_percentage,Cohen Kappa,Kendall,-0.032501413363756525,0
system_cpu_utilization_percentage,Accuracy,Kendall,-0.04410933363874778,0
system_cpu_utilization_percentage,Overall Accuracy Equality,Kendall,-0.05063528368418854,0
Well Calibration,Equalized Odds,Kendall,-0.05308661547394487,0
Well Calibration,Treatment Equality,Kendall,-0.05308661547394487,0
Well Calibration,system_system_memory_usage_megabytes,Kendall,-0.055476529160739696,0
learning_curve_train_score,Balance for Positive Class,Kendall,-0.05660401205816173,0
Balance for Negative Class,Balance for Positive Class,Kendall,-0.06222865412445731,0
Recall,system_system_memory_usage_percentage,Kendall,-0.06885153384747023,0
system_network_transmit_megabytes,Treatment Equality,Kendall,-0.07030389616819727,0
AUC-ROC,system_system_memory_usage_megabytes,Kendall,-0.0725462304409673,0
Recall,system_system_memory_usage_megabytes,Kendall,-0.07633182587699237,0
system_cpu_utilization_percentage,Equal Opportunity,Kendall,-0.07686530569620785,0
system_cpu_utilization_percentage,Treatment Equality,Kendall,-0.07966066242194872,0
AUC-ROC,Equalized Odds,Kendall,-0.08752117686244966,0
system_network_transmit_megabytes,Conditional Statistical Parity,Kendall,-0.09229416831177953,0
system_network_transmit_megabytes,Disparate Impact,Kendall,-0.09229416831177953,0
Conditional Use Accuracy Equality,Precision,Kendall,-0.09420299748272101,0
system_network_transmit_megabytes,Predictive Equality,Kendall,-0.10708890253515616,0
system_network_transmit_megabytes,Balance for Positive Class,Kendall,-0.10760800433907744,0
F1 Score,system_system_memory_usage_percentage,Kendall,-0.11016398084847039,0
Balance for Negative Class,Predictive Equality,Kendall,-0.11097406892239858,0
AUC-ROC,Conditional Statistical Parity,Kendall,-0.12113609590921062,0
AUC-ROC,Disparate Impact,Kendall,-0.12113609590921062,0
system_cpu_utilization_percentage,Conditional Statistical Parity,Kendall,-0.12158359453989186,0
system_cpu_utilization_percentage,Disparate Impact,Kendall,-0.12158359453989186,0
system_cpu_utilization_percentage,Test Fairness,Kendall,-0.1374921511374735,0
Conditional Use Accuracy Equality,Overall Accuracy Equality,Kendall,-0.14025468024767712,0
