cluster_id,rule_number,rule,precision,recall,f1_score,n_workflows_in_cluster,cluster_size,combined_score
0,1,"fairness_method IN {'disparate_impact_remover', 'none'} and max_depth > 7.5 and n_estimators <= 150.0",0.9755952380952381,0.8861386138613861,0.9287177230697153,179,202,0.8229726357895002
0,2,"fairness_method IN {'disparate_impact_remover', 'none'} and max_depth <= 25.0 and max_depth > 7.5 and n_estimators <= 150.0",1.0,0.594059405940594,0.7453416149068323,120,202,0.4427771969743558
0,3,"fairness_method IN {'disparate_impact_remover', 'none'} and max_depth > 15.0 and normalization IN {'minmax', 'none', 'robust', 'standard'}",0.6707767328456983,0.4801980198019802,0.559709338716216,97,202,0.2687713161162027
1,1,fairness_method = 'relabel_data' and max_depth > 15.0,1.0,1.0,1.0,80,80,1.0
1,2,"fairness_method = 'relabel_data' and n_estimators <= 150.0 and normalization IN {'robust', 'standard'}",0.8888888888888888,0.3,0.4485981308411215,24,80,0.13457943925233645
1,3,"max_depth > 25.0 and normalization IN {'none', 'robust', 'standard'}",0.5384615384615384,0.3,0.3853211009174312,24,80,0.11559633027522936
2,1,fairness_method = 'relabel_data' and max_depth <= 15.0,1.0,1.0,1.0,80,80,1.0
2,2,"max_depth <= 7.5 and n_estimators > 35.0 and normalization IN {'minmax', 'none', 'robust', 'standard'}",0.5,0.3,0.37499999999999994,24,80,0.11249999999999998
2,3,"fairness_method = 'relabel_data' and n_estimators > 75.0 and normalization IN {'maxabs', 'minmax', 'none'}",0.5,0.3,0.37499999999999994,24,80,0.11249999999999998
3,1,"fairness_method IN {'disparate_impact_remover', 'none'} and max_depth <= 25.0 and max_depth > 15.0 and n_estimators > 150.0",0.8724489795918368,0.4473684210526316,0.5914547304170906,17,38,0.26459816887080373
3,2,fairness_method = 'disparate_impact_remover' and max_depth > 15.0 and n_estimators > 150.0,0.8361904761904762,0.4473684210526316,0.5828874917014879,17,38,0.2607654568138235
3,3,"fairness_method IN {'disparate_impact_remover', 'none'} and fairness_method IN {'none', 'relabel_data'} and max_depth > 15.0 and normalization IN {'minmax', 'none', 'robust', 'standard'}",0.6153846153846154,0.42105263157894735,0.5,16,38,0.21052631578947367
4,1,"fairness_method IN {'disparate_impact_remover', 'none'} and max_depth <= 7.5",1.0,1.0,1.0,80,80,1.0
4,2,"max_depth <= 7.5 and n_estimators > 35.0 and normalization IN {'none', 'robust', 'standard'}",0.6666666666666666,0.45,0.5373134328358209,36,80,0.2417910447761194
4,3,"max_depth <= 7.5 and normalization IN {'maxabs', 'minmax', 'none'} and normalization IN {'minmax', 'none', 'robust', 'standard'}",0.625,0.4,0.48780487804878053,32,80,0.19512195121951223
