component,variable,correlation
PC_1,Conditional Use Accuracy Equality,0.9859199990143157
PC_1,Equalized Odds,0.9859199990143157
PC_1,Equal Opportunity,0.9827820784030105
PC_1,Cohen Kappa,0.9804418049957093
PC_1,Recall,0.9745375248560726
PC_1,F1 Score,0.9712511360481382
PC_1,Matthews Corrcoef,0.9487642741220207
PC_1,learning_curve_train_score,0.9419863965889796
PC_1,Accuracy,0.8306452971232686
PC_1,Statistical Parity,-0.8081090613719766
PC_1,Conditional Statistical Parity,0.7914061844798403
PC_1,Disparate Impact,0.7914061844798403
PC_2,Equal Negative Predictive Value,0.9368092723872571
PC_2,Overall Accuracy Equality,0.924423042045538
PC_2,Precision,-0.8182515179714488
PC_2,Treatment Equality,0.8019957797403697
PC_2,Balance for Positive Class,0.7921343430677469
PC_2,AUC-ROC,-0.7796625175459714
