iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,training_time_seconds,0.03950669415477899,training_time_seconds,0.0
2,sys_mem_percent_avg,0.03353754518202942,sys_mem_peak_gb,0.89284276723085
2,sys_mem_percent_avg,0.03353754518202942,sys_mem_used_gb_after,0.8928083735496454
2,sys_mem_percent_avg,0.03353754518202942,sys_mem_used_gb_before,0.8807361914468304
2,sys_mem_percent_avg,0.03353754518202942,sys_mem_percent_avg,0.0
3,feature_importance_std,0.0749793815068319,feature_importance_max,0.9492403100775194
3,feature_importance_std,0.0749793815068319,feature_importance_std,0.0
4,rmse_diff_train_test,0.033786405412961976,rmse_diff_train_test,0.0
5,r2_diff_train_test,0.029030949303449235,r2_diff_train_test,0.0
6,test_max_error,0.038617980074484914,test_max_error,0.0
7,test_r2,0.05223606736438844,test_explained_variance,0.9999922481521532
7,test_r2,0.05223606736438844,cv_r2_mean,0.9055363483824986
7,test_r2,0.05223606736438844,train_r2,0.8486690129855153
7,test_r2,0.05223606736438844,test_r2,0.0
8,test_rmse,0.05300319894808973,test_mse,0.9998528165542327
8,test_rmse,0.05300319894808973,cv_rmse_mean,0.9050714844391198
8,test_rmse,0.05300319894808973,cv_mse_mean,0.9049913999170673
8,test_rmse,0.05300319894808973,train_rmse,0.8481228441181676
8,test_rmse,0.05300319894808973,train_mse,0.8480571516317891
8,test_rmse,0.05300319894808973,test_mape,0.7943369126597579
8,test_rmse,0.05300319894808973,cv_mae_mean,0.7831928346567323
8,test_rmse,0.05300319894808973,train_mae,0.778936442884313
8,test_rmse,0.05300319894808973,test_mae,0.776911753685244
8,test_rmse,0.05300319894808973,test_median_absolute_error,0.7588943341018811
8,test_rmse,0.05300319894808973,test_rmse,0.0
9,sys_mem_delta_gb,0.09238429234952249,sys_mem_delta_gb,0.0
10,sys_cpu_percent_avg,0.04741907157041071,sys_cpu_percent_avg,0.0
