metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
sys_mem_delta_gb,sys_cpu_percent_avg,Kendall,-0.001842323701189091,0
test_mape,feature_importance_max,Kendall,-0.0034365072813940353,0
feature_importance_std,cv_r2_mean,Kendall,-0.024221453287197235,0
test_max_error,sys_cpu_percent_avg,Kendall,-0.040876661534930574,0
train_r2,sys_mem_percent_avg,Kendall,-0.04725449515730845,0
training_time_seconds,sys_cpu_percent_avg,Kendall,-0.047860146853280404,0
test_max_error,sys_mem_peak_gb,Kendall,-0.061071360411466144,0
test_max_error,feature_importance_max,Kendall,-0.06540534696254356,0
test_max_error,sys_mem_used_gb_before,Kendall,-0.0746427738362364,0
test_max_error,cv_r2_mean,Kendall,-0.08605966705597837,0
r2_diff_train_test,sys_mem_percent_avg,Kendall,-0.09021312711849795,0
r2_diff_train_test,sys_cpu_percent_avg,Kendall,-0.0915147973971961,0
test_max_error,sys_mem_percent_avg,Kendall,-0.09402224549755141,0
train_r2,sys_cpu_percent_avg,Kendall,-0.0952500952501429,0
training_time_seconds,sys_mem_percent_avg,Kendall,-0.1206703962776916,0
test_max_error,test_r2,Kendall,-0.12736830724284798,0
test_max_error,test_explained_variance,Kendall,-0.12736830724284798,0
r2_diff_train_test,feature_importance_max,Kendall,-0.12802768166089967,0
test_max_error,cv_mae_mean,Kendall,-0.13184931506849315,0
r2_diff_train_test,sys_mem_peak_gb,Kendall,-0.14664796784150166,0
feature_importance_std,test_r2,Kendall,-0.14878892733564014,0
feature_importance_std,test_explained_variance,Kendall,-0.14878892733564014,0
sys_mem_delta_gb,feature_importance_max,Kendall,-0.15189128803977556,0
sys_mem_used_gb_after,cv_r2_mean,Kendall,-0.1602896392686181,0
test_max_error,test_mae,Kendall,-0.1606839954476044,0
test_max_error,test_median_absolute_error,Kendall,-0.16239339965449381,0
training_time_seconds,feature_importance_max,Kendall,-0.1705208928389554,0
r2_diff_train_test,sys_mem_used_gb_before,Kendall,-0.18075214640929274,0
train_r2,feature_importance_max,Kendall,-0.18339100346020762,0
test_mape,sys_mem_percent_avg,Kendall,-0.1898565412544702,0
sys_mem_used_gb_after,test_r2,Kendall,-0.21485632497708385,0
train_r2,sys_mem_peak_gb,Kendall,-0.21485632497708385,0
sys_mem_used_gb_after,test_explained_variance,Kendall,-0.21485632497708385,0
r2_diff_train_test,test_median_absolute_error,Kendall,-0.2233729732906123,0
r2_diff_train_test,test_mae,Kendall,-0.2508650315417646,0
train_r2,sys_mem_used_gb_before,Kendall,-0.25578133925843316,0
training_time_seconds,sys_mem_peak_gb,Kendall,-0.2605042016806723,0
r2_diff_train_test,cv_mae_mean,Kendall,-0.2788333212613699,0
training_time_seconds,train_mse,Kendall,-0.2898409166231252,0
training_time_seconds,sys_mem_used_gb_before,Kendall,-0.29075630252100837,0
r2_diff_train_test,test_mse,Kendall,-0.2918542027088895,0
training_time_seconds,train_rmse,Kendall,-0.2922863081234365,0
r2_diff_train_test,test_rmse,Kendall,-0.2931051908802746,0
sys_mem_delta_gb,cv_mse_mean,Kendall,-0.3237362537195942,0
sys_mem_delta_gb,cv_rmse_mean,Kendall,-0.32429012282210223,0
sys_mem_delta_gb,train_rmse,Kendall,-0.3350514573882153,0
sys_mem_delta_gb,train_mse,Kendall,-0.3392804536402552,0
sys_mem_delta_gb,test_rmse,Kendall,-0.34525607030359245,0
sys_mem_delta_gb,test_mse,Kendall,-0.3454760093210014,0
sys_mem_delta_gb,sys_mem_percent_avg,Kendall,-0.36231578391332503,0
training_time_seconds,cv_mse_mean,Kendall,-0.37596349965536063,0
training_time_seconds,cv_rmse_mean,Kendall,-0.37999957589356714,0
train_r2,test_median_absolute_error,Kendall,-0.388325322797526,0
sys_mem_delta_gb,sys_mem_peak_gb,Kendall,-0.4003365587469626,0
sys_mem_delta_gb,cv_mae_mean,Kendall,-0.4091828251315531,0
sys_mem_delta_gb,test_median_absolute_error,Kendall,-0.4118738725333057,0
train_r2,test_mae,Kendall,-0.4158173810486783,0
sys_mem_delta_gb,test_mae,Kendall,-0.4254335061969536,0
rmse_diff_train_test,test_r2,Kendall,-0.4295634101742544,0
rmse_diff_train_test,test_explained_variance,Kendall,-0.4295634101742544,0
train_r2,cv_mae_mean,Kendall,-0.4440678820088484,0
train_mae,cv_r2_mean,Kendall,-0.44483023086535795,0
training_time_seconds,test_mse,Kendall,-0.4653236867511443,0
training_time_seconds,test_rmse,Kendall,-0.46561888619663716,0
r2_diff_train_test,cv_mse_mean,Kendall,-0.4708014975509829,0
r2_diff_train_test,cv_rmse_mean,Kendall,-0.47160697546676145,0
sys_mem_delta_gb,sys_mem_used_gb_before,Kendall,-0.4978975688617686,0
train_mae,test_r2,Kendall,-0.5413825290376837,0
train_mae,test_explained_variance,Kendall,-0.5413825290376837,0
rmse_diff_train_test,cv_r2_mean,Kendall,-0.580769730555592,0
test_mape,test_r2,Kendall,-0.6151348033695323,0
test_mape,test_explained_variance,Kendall,-0.6151348033695323,0
train_r2,test_mse,Kendall,-0.6214777728271648,0
train_r2,test_rmse,Kendall,-0.6241416417568201,0
test_mape,cv_r2_mean,Kendall,-0.6288808324951085,0
r2_diff_train_test,train_mse,Kendall,-0.6638125401029673,0
r2_diff_train_test,train_rmse,Kendall,-0.6655211981163882,0
training_time_seconds,test_median_absolute_error,Kendall,-0.7282175894225453,0
training_time_seconds,test_mae,Kendall,-0.745152882199814,0
train_r2,cv_mse_mean,Kendall,-0.7457220800625056,0
train_r2,cv_rmse_mean,Kendall,-0.7469979100458921,0
training_time_seconds,cv_mae_mean,Kendall,-0.7599991517871343,1
train_r2,train_mse,Kendall,-0.9939990885479666,1
train_r2,train_rmse,Kendall,-0.9965576489929338,1
