iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,test_Equalized_Odds,0.027628073800913377,test_Equal_Opportunity,1.0
1,test_Equalized_Odds,0.027628073800913377,test_Predictive_Equality,1.0
1,test_Equalized_Odds,0.027628073800913377,test_Overall_Accuracy_Equality,1.0
1,test_Equalized_Odds,0.027628073800913377,test_Equalized_Odds,0.0
2,overfitting_Accuracy_diff,0.05078924842484625,overfitting_F1_diff,0.9372146952037839
2,overfitting_Accuracy_diff,0.05078924842484625,overfitting_Accuracy_diff,0.0
3,test_False_Positives,0.07761399114142604,test_False_Positives,0.0
4,test_Treatment_Equality,0.07303837902564139,test_Treatment_Equality,0.0
5,test_Test_Fairness,0.06969916783135705,test_Test_Fairness,0.0
6,test_Log_Loss,0.053818874167007306,test_Log_Loss,0.0
7,overfitting_AUC_diff,0.07150742102932679,overfitting_AUC_diff,0.0
