metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
test_Log_Loss,test_Conditional_Statistical_Parity,Kendall,-0.03667767161914296,0
overfitting_AUC_diff,system/cpu_utilization_percentage,Kendall,-0.08347319357159927,0
test_Log_Loss,system/cpu_utilization_percentage,Kendall,-0.11328504841859903,0
overfitting_Accuracy_diff,test_Well_Calibration,Kendall,-0.11418774152545731,0
overfitting_Accuracy_diff,system/cpu_utilization_percentage,Kendall,-0.13844763447834252,0
test_Test_Fairness,overfitting_F1_diff,Kendall,-0.1450492932890944,0
test_Equalized_Odds,system/cpu_utilization_percentage,Kendall,-0.18357685975949617,0
test_False_Positives,system/cpu_utilization_percentage,Kendall,-0.19759815365581515,0
overfitting_AUC_diff,test_Conditional_Statistical_Parity,Kendall,-0.21673169593129935,0
test_Treatment_Equality,overfitting_F1_diff,Kendall,-0.2991381915123558,0
test_Treatment_Equality,test_Well_Calibration,Kendall,-0.3234303770051698,0
overfitting_Accuracy_diff,test_Conditional_Statistical_Parity,Kendall,-0.3624851026561488,0
test_Test_Fairness,test_Predictive_Equality,Kendall,-0.51682173645156,0
test_Test_Fairness,test_Overall_Accuracy_Equality,Kendall,-0.51682173645156,0
test_Test_Fairness,test_Equal_Opportunity,Kendall,-0.51682173645156,0
test_Test_Fairness,test_False_Negatives,Kendall,-0.6069769786668839,0
test_Treatment_Equality,test_False_Negatives,Kendall,-0.6921614352674401,0
test_Test_Fairness,test_Well_Calibration,Kendall,-0.7660818713450293,1
