workflowId,normalization,classifier,n_estimators,criterion,max_depth,fairness_method,random_state,training_time_seconds,test_AUC_ROC,test_Accuracy,test_Precision,test_Recall,test_F1_Score,test_Log_Loss,test_Matthews_Corrcoef,test_Cohen_Kappa,test_Balanced_Accuracy,test_True_Positives,test_True_Negatives,test_False_Positives,test_False_Negatives,test_Specificity,test_Sensitivity,test_Statistical_Parity,test_Disparate_Impact,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Equal_Negative_Predictive_Value,test_Conditional_Statistical_Parity,test_Conditional_Use_Accuracy_Equality,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,test_Balance_for_Positive_Class,test_Balance_for_Negative_Class,train_Accuracy,train_F1_Score,train_AUC_ROC,train_Precision,train_Recall,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,learning_curve_train_score,learning_curve_test_score,system/cpu_utilization_percentage,system/system_memory_usage_megabytes,system/system_memory_usage_percentage,system/disk_usage_megabytes,system/network_receive_megabytes,system/network_transmit_megabytes
1,standard,random_forest,50,gini,3,balanced_subsample,42,0.07658696174621582,0.9948214285714286,0.9870769230769231,0.9958813838550247,0.986938775510204,0.991389913899139,0.11684734157945674,0.9656557771860821,0.9654980663751485,0.9872193877551021,1209,395,5,16,0.9875,0.986938775510204,0.24707692307692308,0.3385502471169687,0.0005612244897960084,0.0005612244897960535,0.0005612244897959182,0.5238095238095238,0.46107055961070564,0.03481082424431903,0.9917627677100493,0.00014246467817902175,0.8013927684683586,0.022393237626431764,0.986938775510204,0.9875,0.9889162561576355,0.9926350245499181,0.9976430317398586,0.994669946699467,0.99060841159657,0.0018393330807123798,0.0012451106507791465,0.0028216031684299425,0.988760585065435,0.9873773189987648,0.0,8609.015625,66.6,415374.80078125,4220.671875,1241.693359375
2,standard,random_forest,50,gini,3,balanced,42,0.06425595283508301,0.9948479591836735,0.9870769230769231,0.9958813838550247,0.986938775510204,0.991389913899139,0.1161927509892933,0.9656557771860821,0.9654980663751485,0.9872193877551021,1209,395,5,16,0.9875,0.986938775510204,0.24707692307692308,0.3385502471169687,0.0005612244897960084,0.0005612244897960535,0.0005612244897959182,0.5238095238095238,0.46107055961070564,0.03481082424431903,0.9917627677100493,0.00014246467817902175,0.8019080094555888,0.022102896628410845,0.986938775510204,0.9875,0.9895320197044335,0.9930470347648261,0.9976512085594946,0.9946743138058173,0.9914250714577378,0.0024550966275104225,0.001657120865687145,0.002803249375821104,0.9889145496535797,0.9870692475261832,37.6,8606.65625,66.5,415374.80078125,4220.6728515625,1241.6943359375
3,standard,random_forest,50,gini,3,None,42,0.06041288375854492,0.9958255102040816,0.9901538461538462,0.9886822958771221,0.9983673469387755,0.9935012185215272,0.09959544229195819,0.9733953098704482,0.9731986393155345,0.9816836734693877,1223,386,14,2,0.965,0.9983673469387755,0.26123076923076927,0.3136620856911883,0.03336734693877552,0.03336734693877555,0.033367346938775515,0.75,0.4948453608247423,0.0061630649476202,0.9773645917542442,0.008470172684458488,0.7789819285379882,0.019224483894797632,0.9983673469387755,0.965,0.9883004926108374,0.9922764227642277,0.9975129692025198,0.9878591663294213,0.9967333605553287,-0.001853353543008751,-0.0012247957572995016,0.0016874589984381405,0.9875288683602771,0.9846052446679172,19.7,8615.9375,66.5,415374.796875,4220.6728515625,1241.6943359375
4,standard,random_forest,50,gini,10,balanced_subsample,42,0.1203157901763916,0.9976061224489796,0.9944615384615385,0.9943089430894309,0.9983673469387755,0.9963340122199593,0.05327668891259541,0.9850475917939714,0.9850134494684257,0.9904336734693877,1223,393,7,2,0.9825,0.9983673469387755,0.2569230769230769,0.32113821138211385,0.01586734693877545,0.015867346938775492,0.015867346938775513,0.5555555555555556,0.49493670886075947,0.0006277657713286144,0.9886178861788617,0.004027864992150798,0.9359551179239344,0.006814259959600181,0.9983673469387755,0.9825,0.999384236453202,0.9995918367346939,1.0,0.9991840065279478,1.0,0.0049226979916634495,0.003257824514734553,0.0023938775510203847,0.9996920708237106,0.9919958309367477,0.0,8684.828125,67.0,415374.796875,4220.673828125,1241.6943359375
5,standard,random_forest,50,gini,10,balanced,42,0.10133099555969238,0.9957755102040816,0.9950769230769231,0.9951179820992677,0.9983673469387755,0.9967400162999185,0.07272083032014008,0.986711724971285,0.9866898740657315,0.9916836734693877,1223,394,6,2,0.985,0.9983673469387755,0.25630769230769235,0.32221318144833194,0.013367346938775504,0.013367346938775518,0.01336734693877551,0.5,0.4949494949494949,0.00016848714977280022,0.9902359641985354,0.003393249607535398,0.9366032908276111,0.006675625110562814,0.9983673469387755,0.985,0.999384236453202,0.9995918367346939,1.0,0.9991840065279478,1.0,0.004307313376278876,0.0028518204347753873,0.004224489795918385,0.9996920708237106,0.9923033334869423,17.0,8677.234375,66.9,415374.796875,4220.673828125,1241.6943359375
6,standard,random_forest,50,gini,10,None,42,0.10656404495239258,0.9969387755102039,0.9950769230769231,0.9951179820992677,0.9983673469387755,0.9967400162999185,0.0389711567706292,0.986711724971285,0.9866898740657315,0.9916836734693877,1223,394,6,2,0.985,0.9983673469387755,0.25630769230769235,0.32221318144833194,0.013367346938775504,0.013367346938775518,0.01336734693877551,0.5,0.4949494949494949,0.00016848714977280022,0.9902359641985354,0.003393249607535398,0.9331117945914584,0.006877759782713577,0.9983673469387755,0.985,0.9990763546798029,0.9993878800244848,1.0,0.9987765089722676,1.0,0.003999431602879855,0.0026478637245662684,0.003061224489796066,0.9993841416474211,0.9932269789823004,14.5,8596.53125,66.5,415374.796875,4220.673828125,1241.6943359375
7,standard,random_forest,50,gini,20,balanced_subsample,42,0.11637115478515625,0.9977,0.9938461538461538,0.9943043124491456,0.9975510204081632,0.9959250203748982,0.05372109613245622,0.9833841197973131,0.9833623425821645,0.9900255102040816,1222,393,7,3,0.9825,0.9975510204081632,0.25630769230769235,0.32221318144833194,0.015051020408163196,0.015051020408163238,0.015051020408163267,0.4,0.49242424242424243,0.001880070024903202,0.9886086248982913,0.003820643642072241,0.9340020408163267,0.007072984615384616,0.9975510204081632,0.9825,1.0,1.0,1.0,1.0,1.0,0.006153846153846176,0.004074979625101838,0.0022999999999999687,0.9998460354118553,0.9916880439253597,0.0,8604.890625,66.5,415374.796875,4220.6748046875,1241.6953125
8,standard,random_forest,50,gini,20,balanced,42,0.10653495788574219,0.9966040816326531,0.9950769230769231,0.9959250203748982,0.9975510204081632,0.9967373572593801,0.07361050269569472,0.9867177660703162,0.986712321766239,0.9925255102040816,1222,395,5,3,0.9875,0.9975510204081632,0.2550769230769231,0.3243683781581092,0.010051020408163192,0.010051020408163237,0.010051020408163266,0.25,0.49246231155778897,0.0034627088171091946,0.9918500407497963,0.002551412872841441,0.934315306122449,0.006808615384615384,0.9975510204081632,0.9875,1.0,1.0,0.9999999999999999,1.0,1.0,0.004923076923076919,0.0032626427406199365,0.003395918367346762,0.9996920708237106,0.9929189075097186,15.9,8633.234375,66.7,415374.80078125,4220.6748046875,1241.6953125
9,standard,random_forest,50,gini,20,None,42,0.10882306098937988,0.9966602040816327,0.9944615384615385,0.995114006514658,0.9975510204081632,0.9963310232368529,0.07401472570204808,0.9850509954968912,0.9850387458121276,0.9912755102040816,1222,394,6,3,0.985,0.9975510204081632,0.25569230769230766,0.3232899022801303,0.01255102040816325,0.012551020408163263,0.012551020408163265,0.3333333333333333,0.4924433249370277,0.002670681577630285,0.990228013029316,0.003186028257456952,0.9335755102040817,0.007014892307692308,0.9975510204081632,0.985,1.0,1.0,1.0,1.0,1.0,0.005538461538461492,0.003668976763147147,0.0033397959183673054,1.0,0.9935347659936884,0.0,8667.171875,66.9,415374.87890625,4220.6748046875,1241.6953125
10,standard,random_forest,50,entropy,3,balanced_subsample,42,0.0812990665435791,0.9948479591836734,0.9846153846153847,0.9942339373970346,0.9853061224489796,0.989749897498975,0.11847228837668217,0.9590829068245872,0.9589262694942244,0.9839030612244899,1207,393,7,18,0.9825,0.9853061224489796,0.24707692307692308,0.3385502471169687,0.0028061224489795977,0.0028061224489796394,0.0028061224489795943,0.44,0.45620437956204385,0.038029557834990735,0.9884678747940692,0.0007123233908947757,0.797777094643529,0.02332620985864589,0.9853061224489796,0.9825,0.9873768472906403,0.99160008195042,0.9974774511422251,0.9950657894736842,0.9881584320130665,0.002761462675255677,0.001850184451445025,0.0026294919585516663,0.9889145496535797,0.9867614605147951,0.0,8777.6875,67.5,415375.5078125,4220.6748046875,1241.6953125
