workflowId,normalization,classifier,criterion,max_depth,n_estimators,fairness_method,random_state,test_Log_Loss,test_False_Positives,test_False_Negatives,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Conditional_Statistical_Parity,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,system/cpu_utilization_percentage,cluster
1,standard,random_forest,gini,3,50,balanced_subsample,42,0.1168473415794567,5,16,0.000561224489796,0.000561224489796,0.0005612244897959,0.5238095238095238,0.034810824244319,0.000142464678179,0.8013927684683586,0.0223932376264317,0.0018393330807123,0.0012451106507791,0.0028216031684299,0.0,0
2,standard,random_forest,gini,3,50,balanced,42,0.1161927509892933,5,16,0.000561224489796,0.000561224489796,0.0005612244897959,0.5238095238095238,0.034810824244319,0.000142464678179,0.8019080094555888,0.0221028966284108,0.0024550966275104,0.0016571208656871,0.0028032493758211,37.6,0
3,standard,random_forest,gini,3,50,,42,0.0995954422919581,14,2,0.0333673469387755,0.0333673469387755,0.0333673469387755,0.75,0.0061630649476202,0.0084701726844584,0.7789819285379882,0.0192244838947976,-0.0018533535430087,-0.0012247957572995,0.0016874589984381,19.7,2
4,standard,random_forest,gini,10,50,balanced_subsample,42,0.0532766889125954,7,2,0.0158673469387754,0.0158673469387754,0.0158673469387755,0.5555555555555556,0.0006277657713286,0.0040278649921507,0.9359551179239344,0.0068142599596001,0.0049226979916634,0.0032578245147345,0.0023938775510203,0.0,1
5,standard,random_forest,gini,10,50,balanced,42,0.07272083032014,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9366032908276112,0.0066756251105628,0.0043073133762788,0.0028518204347753,0.0042244897959183,17.0,1
6,standard,random_forest,gini,10,50,,42,0.0389711567706292,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9331117945914584,0.0068777597827135,0.0039994316028798,0.0026478637245662,0.003061224489796,14.5,1
7,standard,random_forest,gini,20,50,balanced_subsample,42,0.0537210961324562,7,3,0.0150510204081631,0.0150510204081632,0.0150510204081632,0.4,0.0018800700249032,0.0038206436420722,0.9340020408163268,0.0070729846153846,0.0061538461538461,0.0040749796251018,0.0022999999999999,0.0,1
8,standard,random_forest,gini,20,50,balanced,42,0.0736105026956947,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.934315306122449,0.0068086153846153,0.0049230769230769,0.0032626427406199,0.0033959183673467,15.9,1
9,standard,random_forest,gini,20,50,,42,0.074014725702048,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9335755102040816,0.0070148923076923,0.0055384615384614,0.0036689767631471,0.0033397959183673,0.0,1
10,standard,random_forest,entropy,3,50,balanced_subsample,42,0.1184722883766821,7,18,0.0028061224489795,0.0028061224489796,0.0028061224489795,0.44,0.0380295578349907,0.0007123233908947,0.797777094643529,0.0233262098586458,0.0027614626752556,0.001850184451445,0.0026294919585516,0.0,0
11,standard,random_forest,entropy,3,50,balanced,42,0.1172034442971091,7,22,0.0004591836734694,0.0004591836734694,0.0004591836734693,0.5172413793103449,0.0472269242258288,0.0001165620094192,0.8007635372694712,0.0231700324831282,0.0052230011367941,0.0035097328744446,0.0025172301176799,14.5,0
12,standard,random_forest,entropy,3,50,,42,0.1029842040059565,17,3,0.0400510204081632,0.0400510204081632,0.0400510204081632,0.7,0.0059487218089132,0.010166797488226,0.7726182090611936,0.0205859155634001,-0.0006233421750663,-0.0004093044592435,0.0024097331536629,13.5,2
13,standard,random_forest,entropy,10,50,balanced_subsample,42,0.069711364032494,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940123783363199,0.0059565961177743,0.0049230769230769,0.0032626427406199,0.0032173469387755,0.0,1
14,standard,random_forest,entropy,10,50,balanced,42,0.0707702053925358,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940093548829978,0.0064404479931315,0.0049230769230769,0.0032626427406199,0.0032612244897959,14.8,1
15,standard,random_forest,entropy,10,50,,42,0.0562773665892427,6,4,0.0117346938775509,0.011734693877551,0.011734693877551,0.2,0.0051602757061591,0.0029788069073783,0.9372994532801812,0.0065138576986501,0.0061538461538461,0.0040783034257748,0.0029714285714285,20.4,1
16,standard,random_forest,entropy,20,50,balanced_subsample,42,0.0695608767458747,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940761224489796,0.0059030153846153,0.0049230769230769,0.0032626427406199,0.0032112244897959,23.3,1
17,standard,random_forest,entropy,20,50,balanced,42,0.0709125156510761,6,4,0.0117346938775509,0.011734693877551,0.011734693877551,0.2,0.0051602757061591,0.0029788069073783,0.939580612244898,0.0065435076923076,0.0061538461538461,0.0040783034257748,0.0032265306122448,15.7,1
18,standard,random_forest,entropy,20,50,,42,0.0715691689496497,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9382173469387756,0.0064443076923076,0.0055384615384614,0.0036689767631471,0.0032255102040816,16.8,1
